행정구역,year,category,accident
서울특별시,2014,음주사고비율,8.2
부산광역시,2014,음주사고비율,7.8
대구광역시,2014,음주사고비율,8.4
인천광역시,2014,음주사고비율,13.3
광주광역시,2014,음주사고비율,11.1
대전광역시,2014,음주사고비율,12.7
울산광역시,2014,음주사고비율,16.9
세종특별자치시,2014,음주사고비율,16.8
경기도,2014,음주사고비율,12.0
강원도,2014,음주사고비율,10.6
충청북도,2014,음주사고비율,11.6
충청남도,2014,음주사고비율,16.9
전라북도,2014,음주사고비율,9.2
전라남도,2014,음주사고비율,11.4
경상북도,2014,음주사고비율,10.8
경상남도,2014,음주사고비율,10.7
제주특별자치도,2014,음주사고비율,9.3
서울특별시,2014,음주사고수,3361.0
부산광역시,2014,음주사고수,996.0
대구광역시,2014,음주사고수,1219.0
인천광역시,2014,음주사고수,1180.0
광주광역시,2014,음주사고수,913.0
대전광역시,2014,음주사고수,751.0
울산광역시,2014,음주사고수,874.0
세종특별자치시,2014,음주사고수,81.0
경기도,2014,음주사고수,5765.0
강원도,2014,음주사고수,909.0
충청북도,2014,음주사고수,1035.0
충청남도,2014,음주사고수,1411.0
전라북도,2014,음주사고수,882.0
전라남도,2014,음주사고수,1156.0
경상북도,2014,음주사고수,1664.0
경상남도,2014,음주사고수,1431.0
제주특별자치도,2014,음주사고수,415.0
서울특별시,2014,교통사고수,40792.0
부산광역시,2014,교통사고수,12693.0
대구광역시,2014,교통사고수,14519.0
인천광역시,2014,교통사고수,8846.0
광주광역시,2014,교통사고수,8194.0
대전광역시,2014,교통사고수,5899.0
울산광역시,2014,교통사고수,5180.0
세종특별자치시,2014,교통사고수,482.0
경기도,2014,교통사고수,48112.0
강원도,2014,교통사고수,8605.0
충청북도,2014,교통사고수,8937.0
충청남도,2014,교통사고수,8360.0
전라북도,2014,교통사고수,9569.0
전라남도,2014,교통사고수,10100.0
경상북도,2014,교통사고수,15346.0
경상남도,2014,교통사고수,13434.0
제주특별자치도,2014,교통사고수,4484.0
서울특별시,2015,음주사고비율,8.3
부산광역시,2015,음주사고비율,8.0
대구광역시,2015,음주사고비율,8.0
인천광역시,2015,음주사고비율,13.6
광주광역시,2015,음주사고비율,11.1
대전광역시,2015,음주사고비율,10.7
울산광역시,2015,음주사고비율,15.0
세종특별자치시,2015,음주사고비율,18.3
경기도,2015,음주사고비율,11.4
강원도,2015,음주사고비율,10.8
충청북도,2015,음주사고비율,11.6
충청남도,2015,음주사고비율,15.5
전라북도,2015,음주사고비율,10.4
전라남도,2015,음주사고비율,11.3
경상북도,2015,음주사고비율,10.1
경상남도,2015,음주사고비율,10.2
제주특별자치도,2015,음주사고비율,10.0
서울특별시,2015,음주사고수,3453.0
부산광역시,2015,음주사고수,1024.0
대구광역시,2015,음주사고수,1134.0
인천광역시,2015,음주사고수,1185.0
광주광역시,2015,음주사고수,874.0
대전광역시,2015,음주사고수,736.0
울산광역시,2015,음주사고수,807.0
세종특별자치시,2015,음주사고수,98.0
경기도,2015,음주사고수,6032.0
강원도,2015,음주사고수,959.0
충청북도,2015,음주사고수,1081.0
충청남도,2015,음주사고수,1461.0
전라북도,2015,음주사고수,920.0
전라남도,2015,음주사고수,1176.0
경상북도,2015,음주사고수,1596.0
경상남도,2015,음주사고수,1397.0
제주특별자치도,2015,음주사고수,466.0
서울특별시,2015,교통사고수,41665.0
부산광역시,2015,교통사고수,12757.0
대구광역시,2015,교통사고수,14228.0
인천광역시,2015,교통사고수,8727.0
광주광역시,2015,교통사고수,7864.0
대전광역시,2015,교통사고수,6901.0
울산광역시,2015,교통사고수,5368.0
세종특별자치시,2015,교통사고수,536.0
경기도,2015,교통사고수,52954.0
강원도,2015,교통사고수,8912.0
충청북도,2015,교통사고수,9335.0
충청남도,2015,교통사고수,9421.0
전라북도,2015,교통사고수,8873.0
전라남도,2015,교통사고수,10420.0
경상북도,2015,교통사고수,15752.0
경상남도,2015,교통사고수,13677.0
제주특별자치도,2015,교통사고수,4645.0
서울특별시,2016,음주사고비율,7.2
부산광역시,2016,음주사고비율,6.5
대구광역시,2016,음주사고비율,7.2
인천광역시,2016,음주사고비율,12.3
광주광역시,2016,음주사고비율,10.4
대전광역시,2016,음주사고비율,8.8
울산광역시,2016,음주사고비율,13.4
세종특별자치시,2016,음주사고비율,17.9
경기도,2016,음주사고비율,9.7
강원도,2016,음주사고비율,8.0
충청북도,2016,음주사고비율,9.1
충청남도,2016,음주사고비율,13.4
전라북도,2016,음주사고비율,9.6
전라남도,2016,음주사고비율,9.5
경상북도,2016,음주사고비율,8.7
경상남도,2016,음주사고비율,7.8
제주특별자치도,2016,음주사고비율,8.2
서울특별시,2016,음주사고수,2874.0
부산광역시,2016,음주사고수,789.0
대구광역시,2016,음주사고수,938.0
인천광역시,2016,음주사고수,1049.0
광주광역시,2016,음주사고수,764.0
대전광역시,2016,음주사고수,665.0
울산광역시,2016,음주사고수,603.0
세종특별자치시,2016,음주사고수,93.0
경기도,2016,음주사고수,4961.0
강원도,2016,음주사고수,708.0
충청북도,2016,음주사고수,851.0
충청남도,2016,음주사고수,1203.0
전라북도,2016,음주사고수,753.0
전라남도,2016,음주사고수,904.0
경상북도,2016,음주사고수,1268.0
경상남도,2016,음주사고수,981.0
제주특별자치도,2016,음주사고수,365.0
서울특별시,2016,교통사고수,40039.0
부산광역시,2016,교통사고수,12192.0
대구광역시,2016,교통사고수,13098.0
인천광역시,2016,교통사고수,8535.0
광주광역시,2016,교통사고수,7354.0
대전광역시,2016,교통사고수,7535.0
울산광역시,2016,교통사고수,4496.0
세종특별자치시,2016,교통사고수,521.0
경기도,2016,교통사고수,51013.0
강원도,2016,교통사고수,8841.0
충청북도,2016,교통사고수,9392.0
충청남도,2016,교통사고수,8962.0
전라북도,2016,교통사고수,7850.0
전라남도,2016,교통사고수,9504.0
경상북도,2016,교통사고수,14629.0
경상남도,2016,교통사고수,12522.0
제주특별자치도,2016,교통사고수,4434.0
서울특별시,2017,음주사고비율,7.4
부산광역시,2017,음주사고비율,6.0
대구광역시,2017,음주사고비율,6.9
인천광역시,2017,음주사고비율,13.0
광주광역시,2017,음주사고비율,9.2
대전광역시,2017,음주사고비율,7.2
울산광역시,2017,음주사고비율,12.3
세종특별자치시,2017,음주사고비율,11.9
경기도,2017,음주사고비율,9.9
강원도,2017,음주사고비율,9.3
충청북도,2017,음주사고비율,9.7
충청남도,2017,음주사고비율,14.8
전라북도,2017,음주사고비율,10.0
전라남도,2017,음주사고비율,9.3
경상북도,2017,음주사고비율,8.7
경상남도,2017,음주사고비율,7.9
제주특별자치도,2017,음주사고비율,7.3
서울특별시,2017,음주사고수,2864.0
부산광역시,2017,음주사고수,709.0
대구광역시,2017,음주사고수,890.0
인천광역시,2017,음주사고수,1000.0
광주광역시,2017,음주사고수,688.0
대전광역시,2017,음주사고수,556.0
울산광역시,2017,음주사고수,523.0
세종특별자치시,2017,음주사고수,89.0
경기도,2017,음주사고수,5020.0
강원도,2017,음주사고수,777.0
충청북도,2017,음주사고수,903.0
충청남도,2017,음주사고수,1369.0
전라북도,2017,음주사고수,772.0
전라남도,2017,음주사고수,905.0
경상북도,2017,음주사고수,1207.0
경상남도,2017,음주사고수,926.0
제주특별자치도,2017,음주사고수,319.0
서울특별시,2017,교통사고수,38625.0
부산광역시,2017,교통사고수,11753.0
대구광역시,2017,교통사고수,12970.0
인천광역시,2017,교통사고수,7719.0
광주광역시,2017,교통사고수,7499.0
대전광역시,2017,교통사고수,7767.0
울산광역시,2017,교통사고수,4265.0
세종특별자치시,2017,교통사고수,746.0
경기도,2017,교통사고수,50627.0
강원도,2017,교통사고수,8316.0
충청북도,2017,교통사고수,9273.0
충청남도,2017,교통사고수,9241.0
전라북도,2017,교통사고수,7748.0
전라남도,2017,교통사고수,9770.0
경상북도,2017,교통사고수,13896.0
경상남도,2017,교통사고수,11742.0
제주특별자치도,2017,교통사고수,4378.0
서울특별시,2018,음주사고비율,7.4
부산광역시,2018,음주사고비율,6.2
대구광역시,2018,음주사고비율,6.7
인천광역시,2018,음주사고비율,12.3
광주광역시,2018,음주사고비율,9.0
